Date,Consumer Price Index_cleaned,Effective Funds Rate DFF_cleaned,GDP growth_cleaned,Historical Gold Prices_cleaned,M2SL_cleaned,T10Y2Y_cleaned,UMCSENT_cleaned,Unemployment Rate_cleaned,United States uncertainty index_cleaned,US Dollar Index (DXY)_cleaned
1985-08-15,0.0084189257450573,8.53,7.050000000000001,1.5644171779141125,0.0230142762752461,1.4,92.26363636363637,7.084848484848485,33.49,136.449997
1985-08-16,0.008418217021644,8.22,6.996969696969697,1.298701298701288,0.0230089809248212,1.36,92.25,7.083333333333333,184.27,136.270004
1985-08-19,0.008417508417513,7.99,6.943939393939394,1.6398330351818702,0.0230036880106254,1.34,92.23636363636363,7.081818181818181,186.7,136.369995
1985-08-20,0.0084167999326645,7.67,6.890909090909091,-1.9653857436198297,0.0229983975310155,1.34,92.22272727272728,7.08030303030303,238.05,136.990005
1985-08-21,0.0084160915670761,7.57,6.837878787878788,0.5086774386594772,0.0229931094842816,1.3,92.2090909090909,7.078787878787878,101.42,136.570007
1985-08-22,0.0084153833207034,7.79,6.784848484848485,-0.1190830604346437,0.0229878238687808,1.29,92.19545454545454,7.077272727272727,31.75,135.559998
1985-08-23,0.0084146751935465,7.69,6.731818181818182,-0.1788375558867461,0.0229825406828032,1.27,92.18181818181816,7.075757575757575,34.62,135.990005
1985-08-26,0.0084139671855165,7.86,6.678787878787879,0.0,0.0229772599246835,1.3,92.16818181818182,7.074242424242424,191.13,136.589996
1985-08-27,0.0084132592966579,7.93,6.625757575757576,0.3284562555986969,0.0229719815927786,1.31,92.15454545454546,7.072727272727272,73.03,137.389999
1985-08-28,0.0084125515268596,7.82,6.572727272727272,1.458333333333317,0.0229667056853788,1.31,92.14090909090908,7.071212121212121,63.79,136.729996
1985-08-29,0.0084118438761882,7.81,6.5196969696969695,-1.1440305074801982,0.0229614322008187,1.31,92.12727272727273,7.069696969696969,186.67,136.970001
1985-08-30,0.0084111363445105,7.8,6.466666666666667,-1.0979228486646897,0.0229561611374329,1.32,92.11363636363636,7.068181818181818,174.67,138.199997
1985-09-02,0.0084104289318709,7.8,6.413636363636364,0.4200420042004049,0.0229508924935784,1.32,92.1,7.066666666666666,123.96,138.199997
1985-09-03,0.0176203691467424,8.24,6.360606060606061,-1.942037645652828,0.0224874186769641,1.29,91.92380952380952,7.0651515151515145,46.78,139.910004
1985-09-04,0.0176172649196226,7.91,6.307575757575758,-0.6703229737964667,0.0224823629738635,1.31,91.74761904761904,7.063636363636364,32.84,139.679993
1985-09-05,0.0176141617860725,7.72,6.254545454545454,-0.0613496932515333,0.022477309543567,1.35,91.57142857142856,7.062121212121212,31.45,140.190002
1985-09-06,0.0176110597455148,7.68,6.201515151515151,-2.5782688766114337,0.022472258384476,1.35,91.39523809523808,7.0606060606060606,65.73,143.050003
1985-09-09,0.017607958797372,7.95,6.148484848484848,0.6301197227473132,0.0224672094951028,1.36,91.2190476190476,7.059090909090909,199.68,143.669998
